domain,flow,confirmed,evidence,login_url,final_url
sbcs.store,none,,,https://sbcs.store/login,https://forsale.godaddy.com/forsale/sbcs.store?utm_source=TDFS_BINNS2&utm_medium=parkedpages&utm_campaign=x_corp_tdfs-binns2_base&traffic_type=TDFS_BINNS2&traffic_id=binns2&
sberlogistics.ru,none,,,https://sberlogistics.ru/login,https://sberlogistics.ru/login
sbermarket.ru,none,,,https://sbermarket.ru/login,https://kuper.ru/login
sblogistica.ru,none,,,https://sblogistica.ru/login,https://sblogistica.ru/login
secretmag.ru,none,,,https://secretmag.ru/login,https://secretmag.ru/login
setka.ru,none,,,https://setka.ru/login,https://setka.ru/login
setrace.ru,none,,ERR:unreachable,,
sferum-dev.ru,none,,ERR:unreachable,,
shiptor.com,none,,ERR:unreachable,,
shiptor.ru,none,,,https://shiptor.ru/login,https://shiptor.ru/login
skbkontur.ru,none,,,https://auth.kontur.ru/login/?back=https%3a%2f%2fkontur.ru%2f&customize=kontur.ru&p=1210&utm_startpage=kontur.ru&utm_orderpage=kontur.ru,https://auth.kontur.ru/login/?back=https%3a%2f%2fkontur.ru%2f&customize=kontur.ru&p=1210&utm_startpage=kontur.ru&utm_orderpage=kontur.ru
smailru.net,none,,ERR:unreachable,,
stf365.com,none,,,https://stf365.com/login,https://standoff365.com/en-US/login/
summerstage.ru,none,,,https://summerstage.ru/login,https://summerstage.ru/login
talantix.ru,none,,,https://talantix.ru/promo/signupfordemo/?from=block_polite_index,https://talantix.ru/promo/signupfordemo?from=block_polite_index
tamtam.chat,none,,,https://tamtam.chat/login,https://tamtam.chat/login
tander.ru,none,,ERR:unreachable,,
taxmon.ru,none,,ERR:unreachable,,
tbki.ru,none,,,https://account.tbki.ru,https://account.tbki.ru/login
tcsbank.ru,none,,,https://tcsbank.ru/login,https://tcsbank.ru/login
tech-mail.ru,none,,,https://tech-mail.ru/signin,https://park.vk.company/signin
tetrika-school.ru,none,,,https://tetrika-school.ru/auth/pupil/new?timezone=UTC,https://tetrika-school.ru/auth/pupil/new?timezone=UTC
tinkoff.ru,none,,ERR:unreachable,,
tinkoffinsurance.ru,none,,ERR:hang,,
tochka-tech.com,none,,ERR:unreachable,,
tvgateway.ru,none,,,https://tvgateway.ru/login,https://tvgateway.ru/login
uchi.ru,none,,,https://uchi.ru/login,https://uchi.ru/
umschool.net,none,,,https://umschool.net/login,https://umschool.net/login/
userapi.com,none,,,https://id.vk.ru/about/faq/users/registration_and_login/login?utm_source=auth_help_web2&utm_medium=organic&utm_content=init-START_QR_PAGE,https://id.vk.ru/about/faq/users/registration_and_login/login?utm_source=auth_help_web2&utm_medium=organic&utm_content=init-START_QR_PAGE
vk-cdn.net,none,,ERR:unreachable,,
vk-stadium.ru,none,,,https://vk-stadium.ru/login,https://vk-stadium.ru/login
vk.cc,none,,,https://id.vk.ru/about/faq/users/registration_and_login/login?utm_source=auth_help_web2&utm_medium=organic&utm_content=init-START_QR_PAGE,https://id.vk.ru/about/faq/users/registration_and_login/login?utm_source=auth_help_web2&utm_medium=organic&utm_content=init-START_QR_PAGE
vk.company,none,,,https://vk.company/login,https://vk.company/login/
vk.link,none,,,https://vk.link/login,https://vk.link/login
vk.ru,none,,,https://id.vk.ru/about/faq/users/registration_and_login/login?utm_source=auth_help_web2&utm_medium=organic&utm_content=init-START_QR_PAGE,https://id.vk.ru/about/faq/users/registration_and_login/login?utm_source=auth_help_web2&utm_medium=organic&utm_content=init-START_QR_PAGE
vkcs.cloud,none,,ERR:unreachable,,
vkpay.app,none,,ERR:unreachable,,
vkpay.io,none,,,https://id.vk.ru/account/#/vkpay?utm_source=landing&utm_medium=organic&utm_campaign=vkpay-general&utm_content=button-main,https://id.vk.ru/about/id?backTo=https://id.vk.ru/account?open_page=vkpay
vkplay.ru,none,,,https://vkplay.ru/login,https://vkplay.ru/login/
vkuser.net,none,,ERR:unreachable,,
vkvideo.ru,none,,,https://vkvideo.ru/login,https://vkvideo.ru/login
vmailru.net,none,,ERR:unreachable,,
wb-bank.ru,none,,,https://wb-bank.ru/login,https://wb-bank.ru/login
wb.ru,none,,,https://wb.ru/signin,https://www.wildberries.ru/signin
wbbasket.ru,none,,ERR:unreachable,,
wbheld.ru,none,,ERR:unreachable,,
wbwh.ru,none,,ERR:unreachable,,
wbwh.tech,none,,,https://wbwh.tech/login,https://wbwh.tech/login
wmj.ru,none,,,https://wmj.ru/login,https://www.wmj.ru/login
yaklass.ru,none,,,https://yaklass.ru/login,https://www.yaklass.ru/login
yoobusiness.ru,none,,,https://yoobusiness.ru/login,https://yoobusiness.ru/login
yookassa.ru,none,,,https://yookassa.ru/login,https://yookassa.ru/login
yotaplay.ru,none,,,https://yotaplay.ru/login,https://yotaplay.ru/login
zappstore.pro,none,,ERR:unreachable,,
