domain,flow,confirmed,evidence,login_url,final_url
infinifi.xyz,none,,,https://infinifi.xyz/login,https://infinifi.xyz/login
infiniteathlete.com,none,,ERR:unreachable,,
inheriti.com,none,,,https://app.inheriti.com,https://app.inheriti.com/
initverse.com,none,,,https://initverse.com/login,https://initverse.com/login
injective.com,none,,,https://injective.com/login,https://injective.com/login
innogames.com,none,,ERR:hang,,
innostage.ch,none,,,https://innostage.ch/login,https://www.innostage.ch/login
inspectiv.com,none,,ERR:hang,,
instadapp.io,none,,,https://instadapp.io/login,https://instadapp.io/login
integral.link,none,,,https://integral.link/login,https://integral.link/login
intergamma.nl,none,,,https://intergamma.nl/login,https://intergamma.nl/login/
internetcomputer.org,none,,,https://internetcomputer.org/login,https://internetcomputer.org/login
intuition.systems,none,,ERR:hang,,
inverse.finance,none,,,https://inverse.finance/login,https://www.inverse.finance/login
ipor.io,none,,,https://ipor.io/login,https://ipor.io/login/
ispsystem.com,none,,ERR:hang,,
izymes.com,none,,ERR:hang,,
jet.su,none,,ERR:hang,,
jetinfosystems.com,none,,,https://jetinfosystems.com/login,https://jetinfosystems.com/login/
jito.network,none,,ERR:hang,,
jojo.exchange,none,,,https://jojo.exchange/login,https://jojo.exchange/login
justlend.org,none,,,,
k15t.com,none,,ERR:hang,,
k2.cloud,none,,ERR:hang,,
kaia.io,none,,,https://kaia.io/login,https://www.kaia.io/login
kantegasso.com,none,,,https://kantegasso.com/login,https://www.kantega-sso.com/login
kast.xyz,none,,ERR:hang,,
katana.network,none,,ERR:hang,,
kcex.com,jwt,yes,gis_credential,https://kcex.com/login,https://www.kcex.com/login
kelpdao.xyz,none,,,https://kelpdao.xyz/login,https://kerneldao.com/kelp/login
khealth.com,none,,,https://khealth.com/login,https://khealth.com/
kiln.fi,none,,,https://kiln.fi/login,https://www.kiln.fi/login
kinepolis.be,none,,,https://kinepolis.be/login,https://kinepolis.be/login
kinetiq.xyz,none,,,https://kinetiq.xyz/login,https://kinetiq.xyz/login
kiteworks.com,none,,ERR:hang,,
kleidi.io,none,,,https://accounts.kleidi.io/login,https://accounts.kleidi.io/login
konsol.com,none,,,https://konsol.com/login,https://konsol.com/login
kontur.ru,none,,,https://auth.kontur.ru/login/?back=https%3a%2f%2fkontur.ru%2f&customize=kontur.ru&p=1210&utm_startpage=kontur.ru&utm_orderpage=kontur.ru,https://auth.kontur.ru/login/?back=https%3a%2f%2fkontur.ru%2f&customize=kontur.ru&p=1210&utm_startpage=kontur.ru&utm_orderpage=kontur.ru
kubchain.com,none,,,https://kubchain.com/login,https://www.kubchain.com/
kuper.ru,none,,,https://kuper.ru/login,https://kuper.ru/login
kuru.io,none,,,https://kuru.io/login,https://www.kuru.io/login
latitude.com,none,,ERR:hang,,
layer3.com,none,,,https://layer3.com/login,https://www.layer3.com/wp-login.php
layer3.xyz,none,,ERR:hang,,
layerswap.io,none,,,https://layerswap.io/login,https://layerswap.io/login
layerzero.network,none,,ERR:hang,,
lbank.com,none,,ERR:hang,,
lcx.com,none,,,https://lcx.com/login,https://lcx.com/en/login
leather.io,none,,ERR:hang,,
letsexchange.io,none,,ERR:hang,,
levex.com,jwt,yes,gis_credential,https://levex.com/login,https://levex.com/en/login
lido.fi,none,,ERR:hang,,
linea.build,none,,,https://developer.linea.build/auth/sign-in,https://developer.linea.build/auth/sign-in
lineworks.com,none,,,https://lineworks.com/login,https://lineworks.com/login
liquity.org,none,,,https://liquity.org/login,https://www.liquity.org/login
lista.com,none,,ERR:hang,,
livejournal.com,none,,,https://livejournal.com/login,https://livejournal.com/login
livepeer.org,none,,,https://livepeer.org/login,https://livepeer.org/login
llv.li,none,,,https://llv.li/login,https://llv.li/login
logos.com,code,,response_type=code,https://www.logos.com/signin?returnUrl=http%3A%2F%2Fwww.logos.com%2F,
lombard.finance,none,,ERR:hang,,
louisvuitton.com,none,,,https://louisvuitton.com/login,https://louisvuitton.com/login
lyra.finance,none,,,https://lyra.finance/login,https://lyra.finance/login
magic.co,none,,,https://magic.co/login,https://magic.co/login
magiceden.io,none,,,https://magiceden.io/login,https://magiceden.io/login
magpiexyz.io,none,,ERR:hang,,
mail.ru,none,,ERR:hang,,
mailru.com,none,,ERR:hang,,
mailto.wiki,none,,ERR:hang,,
makina.finance,none,,ERR:hang,,
maple.finance,none,,ERR:hang,,
marinade.finance,none,,ERR:hang,,
marsecosystem.com,none,,,https://marsecosystem.com/login,https://marsecosystem.com/available
matlabonline.com,none,,ERR:unreachable,,
matomo.org,none,,ERR:hang,,
max.com,none,,,https://auth.hbomax.com/login?flow=login,https://auth.hbomax.com/login?flow=login
max.ru,none,,,https://go.max.ru/authors,https://go.max.ru/authors
mediamarktsaturn.com,none,,,https://mediamarktsaturn.com/login,https://www.ceconomy-mms.com/de/login
meest.com,none,,,https://meest.com/login,https://meest.com/login
merlinchain.io,none,,,https://merlinchain.io/login,https://merlinchain.io/
meta-inf.hu,none,,,https://meta-inf.hu/login,https://www.meta-inf.hu/login
meth.io,none,,ERR:hang,,
metis.io,none,,,https://metis.io/login,https://www.metis.io/login
metronome.io,none,,ERR:hang,,
mezo.org,none,,,https://mezo.org/login,https://mezo.org/login
mfc-74.ru,none,,ERR:unreachable,,
mgm.com,none,,ERR:hang,,
mi.com,none,,,https://mi.com/login,https://err.www.mi.com/04.html
midas.app,none,,ERR:hang,,
mind.com,none,,,https://mind.com/login,https://mind.com/login
mintscan.io,none,,,https://mintscan.io/login,https://www.mintscan.io/not-found
momentum.com,none,,,https://momentum.com/login,https://www.momentum.com/login
mon.com,none,,,https://mon.com/login,https://mon.com/login
monad.xyz,none,,,https://monad.xyz/login,https://monad.xyz/login
monadscan.com,none,,ERR:hang,,
monash.com,none,,,https://monash.com/login,https://www.monash.com/error.html
monday.trade,none,,,https://monday.trade/login,https://monday.trade/
moneyonchain.com,none,,,https://moneyonchain.com/login,https://moneyonchain.com/wp-login.php?letmein=1
mongodb.com,none,,ERR:hang,,
monolith.market,none,,,https://monolith.market/login,https://www.monolith.market/login
monzo.me,none,,,https://monzo.me/login,https://monzo.me/login
moonwell.fi,none,,,https://moonwell.fi/login,https://moonwell.fi/login
moovit.com,none,,,https://moovit.com/login,https://moovit.com/wp-login.php
moreficent.com,none,,,https://moreficent.com/login,https://www.moreficent.com/login
morelogin.com,google_unknown,,gsi_only,https://morelogin.com/login,https://www.morelogin.com/login
morph.com,none,,ERR:unreachable,,
morpho.org,none,,ERR:hang,,
motorola.com,none,,ERR:hang,,
mount10.com,none,,,https://my.mount10.ch/login,https://my.mount10.ch/login
moveworkforward.com,none,,,https://moveworkforward.com/login,https://www.moveworkforward.com/login
mtpelerin.com,none,,ERR:hang,,
mufex.com,none,,ERR:unreachable,,
multipli.fi,none,,ERR:hang,,
mux.network,none,,,https://mux.network/login,https://mux.network/login
myetherwallet.com,none,,,https://myetherwallet.com/login,https://myetherwallet.com/login
myfitnesspal.com,none,,,https://myfitnesspal.com/login,https://www.myfitnesspal.com/profile/login
myreviews.ru,none,,ERR:hang,,
napier.finance,none,,,https://napier.finance/login,https://napier.finance/login
naviprotocol.io,none,,,https://naviprotocol.io/login,https://naviprotocol.io/login
near-intents.org,none,,,https://near-intents.org/login,https://near-intents.org/login
near.com,none,,,https://near.com/login,https://near.com/login
near.foundation,none,,,https://near.foundation/login,https://near.foundation/login
near.org,none,,ERR:hang,,
nemetschek.com,none,,ERR:hang,,
neo.com,none,,,https://neo.com/login,https://neo.com/login
netplus.ch,none,,ERR:hang,,
netscaler.com,none,,,https://www.citrix.com/account/,https://accounts.cloud.com/core/login?ReturnUrl=%2Fcore%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3Dxm5qIIs5asdlNBnj4mI9Tg%253D%253D%26redirect_uri%3Dhttps%253A%252F%252Fauth.cloud.com%252Ffederation%252Fcallback%252Ffv5bWyrjhdlaEbrM1c9oF%252F%26response_type%3Dcode%26scope%3Dopenid%2520profile%2520email%2520ctx_principal_aliases%26state%3De9a6105c-664b-484f-a8b9-304cc225e173%253A_5MvXs3lvqsYzHfDXWyv9%26nonce%3Dba9eba57b2d5ec5411002b97f4bc9122
new.com,none,,,https://new.com/login,https://new.com/404.php
newblue.com,none,,ERR:unreachable,,
nextup.com,none,,ERR:hang,,
nexusmutual.io,none,,,https://nexusmutual.io/login,https://nexusmutual.io/login
nicehash.com,jwt,yes,response_type=id_token,https://www.nicehash.com/my/login,https://www.nicehash.com/my/login
ninjakiwi.com,none,,,https://ninjakiwi.com/login,https://ninjakiwi.com/login
nintendo.com,none,,ERR:hang,,
